से	no	से	no		
नकदी	nauda	नकदी	nauda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निराशा	vilšanās	निराशा	vilšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शॉपिंग	iepirkšanās	शॉपिंग	iepirkšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फिल्मांकन	filmēšana	फिल्मांकन	filmēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फिल्मांकन	filmēšanas	फिल्मांकन	filmēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
धोखाधड़ी	krāpšana	धोखाधड़ी	krāpšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
गली	iela	गली	iela	N;NOM;FEM;SG;3	N;NOM;FEM;SG
गिरफ्तारी	arests	गिरफ्तारी	arests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
दबाने	apspiest	दबा	apspiest	V;NFIN;ACT	V;POS;NFIN
दबाने	nospiežot	दबा	nospiest	V;NFIN;ACT	V;V.CVB
हिल्स	pakalni	हिल	pakalns	N;NOM;FEM;PL;3	N;NOM;MASC;PL
रास	zebiekste	रास	zebiekste	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घात	slēpnis	घात	slēpnis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीनेट	senāta	सीनेट	senāt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीनेट	senāts	सीनेट	senāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पारदर्शी	caurspīdīgs	पारदर्शी	caurspīdīgs	ADJ	ADJ;NOM;MASC;SG
पारदर्शी	caurspīdīga	पारदर्शी	caurspīdīga	ADJ	ADJ;NOM;FEM;SG
पारदर्शी	caurspīdīgs	पारदर्शी	caurspīdīgs	ADJ	ADJ;NOM;MASC;SG
रेशे	zīda	रेशा	zīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रेशे	zīds	रेशा	zīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खिड़की	logs	खिड़की	logs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आतंक	terora	आतंक	terors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आतंक	terorisms	आतंक	terorisms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नर्तकी	balerīna	नर्तकी	balerīns	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नर्तकी	dejotāja	नर्तकी	dejotājs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पढ़े	lasi	पढ़े	lasīt	V;PFV;MASC;SG;FIN;ACT	V;IMP;SG;2;POS;FIN;ACT
पढ़े	lasīt	पढ़े	lasīt	V;PFV;MASC;SG;FIN;ACT	V;POS;NFIN
मोटर्स	motori	मोटर	motors	N;NOM;FEM;PL;3	N;NOM;MASC;PL
असफलता	neveiksme	असफलता	neveiksme	N;NOM;FEM;SG;3	N;NOM;FEM;SG
असफलता	defekts	असफलता	defekts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
फॉर्म	forma	फॉर्म	forma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पंखों	spārnus	पंख	spārns	N;ACC;MASC;PL;3	N;ACC;MASC;PL
मुद्रास्फीति	inflācija	मुद्रास्फीति	inflācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कमजोरी	nespēks	कमजोरी	nespēks	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कमजोरी	vājums	कमजोरी	vājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सर्जन	ķirurgs	सर्जन	ķirurgs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डालना	lej	डाल	lej	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
डालना	ielej	डाल	ieliet	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
उत्पादकता	ražība	उत्पादकता	ražība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उत्पादकता	ražīgums	उत्पादकता	ražīgums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
उत्पादकता	produktivitāte	उत्पादकता	produktivitāte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कागज़	papīrs	कागज़	papīrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सांप	čūska	सांप	čūska	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गंतव्य	galamērķis	गंतव्य	galamērķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संभाल	apstrādāt	संभाल	apstrādāt	V;FIN;ACT	V;POS;NFIN
रेलगाड़ी	vilciens	रेलगाड़ी	vilciens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
यादृच्छिक	nejaušības	यादृच्छिक	nejaušība	N;NOM;3	N;NOM;FEM;PL
यादृच्छिक	izlases	यादृच्छिक	izlase	N;NOM;3	N;NOM;FEM;PL
साँप	čūska	साँप	čūska	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लड़ा	cīnījās	लड़ा	cīnīties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
सचिवालय	sekretariāts	सचिवालय	sekretariāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
इंसुलिन	insulīna	इंसुलिन	insulīns	N;NOM;MASC;SG;3	N;NOM;FEM;SG
इंसुलिन	insulīns	इंसुलिन	insulīns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सींग	rags	सींग	rags	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पिरामिड	piramīda	पिरामिड	piramīds	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खोजा	atklāju	खोजा	atklāt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PRS;FIN;ACT
खोजा	meklēja	खोजा	meklēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
ऑयल	eļļa	ऑयल	eļļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऑयल	nafta	ऑयल	nafta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पिच	piķis	पिच	piķis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
झरना	ūdenskritums	झरना	ūdenskritums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीमांत	robeža	सीमांत	robeža	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गुणांक	koeficients	गुणांक	koeficients	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जीभ	mēle	जीभ	mēle	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सिलिकॉन	silīcija	सिलिकॉन	silīcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सिलिकॉन	silīcijs	सिलिकॉन	silīcijs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मानदंड	kritērijs	मानदंड	kritērijs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समझाया	izskaidrots	समझा	izskaidrot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
समझाया	paskaidroja	समझा	paskaidrot	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
सॉसेज	desa	सॉसेज	desa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सहानुभूति	līdzjūtība	सहानुभूति	līdzjūtība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहानुभूति	līdzjūtība	सहानुभूति	līdzjūtība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुकुट	vainags	मुकुट	vainags	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भुजा	roka	भुजा	roka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मजबूती	stiprums	मजबूती	stiprums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मजबूती	stiprība	मजबूती	stiprība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मजबूती	izturība	मजबूती	izturība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मजबूती	spēks	मजबूती	spēks	N;NOM;FEM;SG;3	N;NOM;MASC;SG
भण्डार	krājums	भण्डार	krājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कंपनियाँ	uzņēmējsabiedrības	कंपनी	uzņēmējsabiedrība	N;NOM;FEM;PL;3	N;NOM;FEM;PL
कंपनियाँ	kompānijas	कंपनी	kompānija	N;NOM;FEM;PL;3	N;NOM;FEM;PL
कंपनियाँ	uzņēmumi	कंपनी	uzņēmums	N;NOM;FEM;PL;3	N;NOM;MASC;PL
भूवैज्ञानिक	ģeologs	भूवैज्ञानिक	ģeologs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीने	krūškurvja	सीना	krūškurvis	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भित्ति	freska	भित्ति	freska	N;NOM;FEM;SG;3	N;NOM;MASC;SG
नरसंहार	slaktiņš	नरसंहार	slaktiņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नरसंहार	genocīds	नरसंहार	genocīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पड़ोस	apkārtne	पड़ोस	apkārtne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
न्यास	pamats	न्यास	pamats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
न्यास	fonds	न्यास	fonds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
फोरम	forums	फोरम	forums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पूँछ	aste	पूँछ	aste	N;NOM;FEM;SG;3	N;NOM;FEM;SG
लड़का	zēns	लड़का	zēns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लड़का	puika	लड़का	puika	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बॉडी	ķermenis	बॉडी	ķermenis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पीतल	misiņa	पीतल	misiņa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुक्केबाजी	boksa	मुक्केबाजी	bokss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मुक्केबाजी	bokss	मुक्केबाजी	bokss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
उभरा	parādījās	उभर	parādīties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
उभरा	radās	उभर	rasties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
बढ़ाना	saasināt	बढ़ा	saasināt	V;MASC;NFIN;ACT	V;POS;NFIN
बोतल	pudelīte	बोतल	pudelīte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बोतल	pudele	बोतल	pudele	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पिस्टन	virzulis	पिस्टन	virzulis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
त्रिज्या	rādiuss	त्रिज्या	rādiuss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सस्ता	lēts	सस्ता	lēts	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
सस्ता	lēta	सस्ता	lēta	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
सस्ता	lētāka	सस्ता	lēta	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;FEM;SG
सस्ता	lētāks	सस्ता	lētāks	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;MASC;SG
चेन	ķēde	चेन	ķēde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आर्द्रता	mitrums	आर्द्रता	mitrums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ऑक्सीकरण	oksidēšanās	ऑक्सीकरण	oksidēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचिका	faila	संचिका	faila	N;NOM;FEM;SG;3	N;NOM;MASC;SG
संचिका	fails	संचिका	fails	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्पष्टीकरण	paskaidrojums	स्पष्टीकरण	paskaidrojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्पष्टीकरण	izskaidrojums	स्पष्टीकरण	izskaidrojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्पष्टीकरण	skaidrojums	स्पष्टीकरण	skaidrojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्पष्टीकरण	precizējums	स्पष्टीकरण	precizējums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्पष्टीकरण	skaidrojums	स्पष्टीकरण	skaidrojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शक्तियाँ	pilnvaras	शक्ति	pilnvara	N;NOM;FEM;PL;3	N;NOM;FEM;PL
कारखाना	rūpnīca	कारखाना	rūpnīca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कारखाना	fabrika	कारखाना	fabrika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फलक	rūts	फलक	rūts	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फलक	panelis	फलक	panelis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
फलक	žūrija	फलक	žūrija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिसाल	alegorija	मिसाल	alegorija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संतुष्टि	apmierinātība	संतुष्टि	apmierinātība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संवेग	impulss	संवेग	impulss	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निमोनिया	pneimonija	निमोनिया	pneimonija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्पीड़न	uzmākšanās	उत्पीडन	uzmākšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्पीड़न	uzbrukums	उत्पीडन	uzbrukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कोकेन	kokaīns	कोकेन	kokaīns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जोन	džoanna	जोन	džoanna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शाखाएं	filiāles	शाखा	filiāle	N;NOM;FEM;PL;3	N;NOM;FEM;PL
जानबूझकर	apzināti	जानबूझकर	apzināt	ADV	ADV
पुकारा	saucās	पुकार	saukties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
पुकारा	saukts	पुकार	saukt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
झंडा	karogs	झंडा	karogs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ग्लास	stikls	ग्लास	stikls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ग्लास	glāze	ग्लास	glāze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रियान्वयन	īstenošana	क्रियान्वयन	īstenošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रियान्वयन	ieviešana	क्रियान्वयन	ieviešana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रुपया	rūpija	रुपया	rūpija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रक्रम	process	प्रक्रम	process	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गवाह	liecinieks	गवाह	liecinieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पत्रकारों	žurnālistus	पत्रकार	žurnālists	N;ACC;MASC;PL;3	N;ACC;MASC;PL
मजाक	joks	मजाक	joks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कांड	skandāls	कांड	skandāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्लोरीन	hlora	क्लोरीन	hlora	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्लोरीन	hlors	क्लोरीन	hlors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मिठाई	deserts	मिठा	deserts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बदलना	maina	बदल	mainīt	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
बदलना	mainās	बदल	mainīties	V;MASC;NFIN;ACT	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
सड़कें	ceļi	सड़क	ceļš	N;NOM;FEM;PL;3	N;NOM;MASC;PL
सड़कें	ielas	सड़क	iela	N;NOM;FEM;PL;3	N;NOM;FEM;PL
प्रीमियम	piemaksa	प्रीमियम	piemakstēt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रीमियम	prēmija	प्रीमियम	prēmija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
घेरा	perimetrs	घेरा	perimetrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घेरा	loks	घेरा	loks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घेरा	aplis	घेरा	aplis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एक्सेस	pieeja	एक्सेस	pieeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
एक्सेस	piekļuve	एक्सेस	piekļuve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्क्रिप्ट	skripts	स्क्रिप्ट	skripts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विपक्षी	antagonists	विपक्षी	antagonists	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बहिष्कार	boikots	बहिष्कार	boikot	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खरीदारी	iegāde	खरीदारी	iegāde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
खरीदारी	pirkums	खरीदारी	pirkums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
खरीदारी	pirkšana	खरीदारी	pirkšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
खरीदारी	iepirkšanās	खरीदारी	iepirkšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शंकु	konusa	शंकु	konuss	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सिक्का	monēta	सिक्का	monēta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
घोटाले	skandāls	घोटाला	skandāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दबा	nomāc	दबा	nomākt	V;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
उत्कीर्ण	gravēšanas	उत्कीर्ण	gravēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जासूस	detektīvs	जासूस	detektīvs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्यक्षेत्र	joma	कार्यक्षेत्र	joma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्यक्षेत्र	darbavieta	कार्यक्षेत्र	darbavietis	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मोटरसाइकिल	motocikls	मोटरसाइकिल	motocikls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बेड़े	flote	बेड़ा	flote	N;NOM;MASC;SG;3	N;NOM;FEM;SG
किशोरावस्था	pusaudzis	किशोरावस्था	pusaudzis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पंद्रह	piecpadsmit	पंद्रह	piecpadsmit	NUM	NUM;PL
महंगा	dārga	महंगा	dārga	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
महंगा	dārgs	महंगा	dārgs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
मनोरंजक	jautrība	मनोरंजक	jautrība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सजाया	apbalvots	सजा	apbalvot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
डिवाइस	ierīce	डिवाइस	ierīce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऑब्जेक्ट	objekts	ऑब्जेक्ट	objekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पेंटिंग	krāsošana	पेंटिंग	krāsošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पेंटिंग	zīmēšana	पेंटिंग	zīmēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पेंटिंग	glezna	पेंटिंग	glezna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सूचियाँ	saraksti	सूची	saraksts	N;NOM;FEM;PL;3	N;NOM;MASC;PL
कुर्सी	krēsls	कुर्सी	krēsls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
दोहरा	dubulta	दोहरा	dubult	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
दोहरा	dubultā	दोहरा	dubults	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
दोहरा	dubultā	दोहरा	dubults	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
रैली	rally	रैली	rally	N;NOM;FEM;SG;3	N
संविदा	pakta	संविदा	pakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संविदा	pakts	संविदा	pakts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संविदा	līgums	संविदा	līgums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नेटस्केप	netscape	नेटस्केप	netscape	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रक्षेपास्त्र	raķete	प्रक्षेपास्त्र	raķete	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फोटोग्राफी	fotogrāfija	फोटोग्राफी	fotogrāfija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धड़	rumpja	धड़	rumpie	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वार्तालाप	saruna	वार्तालाप	saruna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
टीले	kāpas	टीला	kāpa	N;NOM;MASC;PL;3	N;NOM;FEM;PL
रुझान	tendence	रुझान	tendence	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भागीदार	dalībnieks	भागीदार	dalībnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्पेंसर	spensers	स्पेंसर	spensers	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पुस्तिका	buklets	पुस्तिका	buklets	N;NOM;FEM;SG;3	N;NOM;MASC;SG
नाभि	naba	नाभि	naba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
देखिए	skatīt	देखिया	skatīt	V;SBJV;SG;FIN;ACT	V;POS;NFIN
क्लाइंट	klients	क्लाइंट	klients	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डायरी	dienasgrāmata	डायरी	dienasgrāmata	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अपडेट	atjauninājums	अपडेट	atjauninājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अपडेट	update	अपडेट	update	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अपडेट	atjaunināšana	अपडेट	atjaunināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चैम्पियन	čempions	चैम्पियन	čempions	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चैम्पियन	čempions	चैम्पियन	čempions	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीमाएं	ierobežojumi	सीमा	ierobežojums	N;NOM;FEM;PL;3	N;NOM;MASC;PL
आयुर्वेदिक	ājurvēda	आयुर्वेदिक	ājurvēda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आयुर्वेदिक	ayurvedic	आयुर्वेदिक	ayurvedic	N;NOM;MASC;SG;3	N;NOM;FEM;SG
किट	komplekts	किट	komplekts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बाप	tēvs	बाप	tēvs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
थाली	plate	थाला	plate	N;NOM;FEM;SG;3	N;NOM;FEM;SG
थाली	plāksne	थाला	plāksne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
थाली	plātne	थाला	plātne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कार्यभार	piešķiršana	कार्यभार	piešķiršana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
एनालॉग	analogs	एनालॉग	analogs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिबिंब	spogulis	प्रतिबिंब	spogulis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गिरोह	banda	गिरोह	bands	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मर्यादा	cieņa	मर्यादा	cieņa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शर्ट	krekls	शर्ट	krekls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सेंसर	sensors	सेंसर	sensors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सेंसर	devējs	सेंसर	devējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एकाधिकार	monopols	एकाधिकार	monopols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एकाधिकार	monopola	एकाधिकार	monopols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्गो	kravas	कार्ग	krava	N;NOM;MASC;PL;3	N;NOM;FEM;PL
जादूगर	burvis	जादूगर	burvis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिमान	raksts	प्रतिमान	raksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिमान	paradigma	प्रतिमान	paradigma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषणात्मक	analītiskā	विश्लेषणात्मक	analītiska	ADJ;NOM	ADJ;NOM;FEM;SG
प्रतिबद्धता	apņēmība	प्रतिबद्धता	apņēmība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रतिबद्धता	apņemšanās	प्रतिबद्धता	apņemšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विधायिका	likumdevējs	विधायिका	likumdevējs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कॉफ़ी	kafija	कॉफ़ी	kafija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
किराए	īre	किराया	īre	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तूफ़ान	viesuļvētra	तूफ़ान	viesuļvētra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तूफ़ान	vētra	तूफ़ान	vētra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तूफ़ान	negaiss	तूफ़ान	negaiss	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कड़ा	cietais	कड़ा	ciets	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
एंजाइम	ferments	एंजाइम	ferments	N;NOM;MASC;SG;3	N;NOM;MASC;SG
एंजाइम	enzīms	एंजाइम	enzīms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
